Institute,Course,Branch/Subject,No. of seats,Course Duration (In Months),Examination Pattern,Annual Tuition Fees,Annual Total Fees,Eligibility Criteria,Additional Criteria,SII Institute Link
Andhra University,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Information Technology,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Marine Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Mechanical Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Andhra University,Bachelor of Technology (B.Tech),Metallurgical and Materials Engineering,10,48,semester,USD 4000,USD 4780,"( 10th in Any Subject with minimum 60% score  ) And ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 60% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0208#Section2
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Bachelor of Technology (B.Tech),Computer Science and Engineering,7,48,semester,USD 3500,USD 5000,"( ( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score  ) )",SAT Level II with minimum 1200 score Or JEE Main with minimum 400 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0025#Section2
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,B.Tech + M.Tech (Integrated),Information Technology,30,60,semester,USD 3500,USD 5000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0025#Section2
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,B.Tech + MBA (Integrated),Information Technology,6,60,semester,USD 3500,USD 5000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 55% score )",SAT Level II with minimum 1800 score,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0025#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Chemical Engineering,9,48,semester,USD 5000,USD 7156,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Civil Engineering,9,48,semester,USD 5000,USD 7156,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Computer Engineering,18,48,semester,USD 6000,USD 8156,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Electrical Engineering,9,48,semester,USD 5000,USD 7156,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Electronics and Communication Engineering,18,48,semester,USD 5500,USD 7656,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Electronics and Telecommunication Engineering,18,48,semester,USD 5500,USD 7656,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Information Technology,9,48,semester,USD 6000,USD 8156,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Mechanical Engineering,18,48,semester,USD 5500,USD 7656,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
Bharati Vidyapeeth (Deemed to be University),Bachelor of Technology (B.Tech),Computer Science and Business System,9,48,semester,USD 6000,USD 8156,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0091#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Artificial Intelligence,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Chemical Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Civil Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Engineering,120,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science (Data Science),180,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Engineering,180,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Artificial Intelligence and Machine Learning),180,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Cyber Security),120,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Information Technology),120,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Internet of Things (IOT)),120,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Software Engineering),60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Data Science,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Electrical Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Electronics and Communication Engineering,120,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Marine Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Mechanical Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science & Engineering with a Specialization in Blockchain Technology,120,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),specialization in Artificial Intelligence & Robotics,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
C V Raman Global University,Bachelor of Technology (B.Tech),Computer Science and Systems Engineering,60,48,semester,USD 8000,USD 10000,( 10+2 in Physics with minimum 50% score Or 10+2 in Chemistry with minimum 50% score Or 10+2 in Mathematics with minimum 50% score ),,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0144#Section2
Datta Meghe Institute of Medical Sciences (Deemed to be University),Bachelor of Technology (B.Tech),Agricultural Engineering,9,48,semester,USD 4000,USD 6800,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0265#Section2
Datta Meghe Institute of Medical Sciences (Deemed to be University),Bachelor of Technology (B.Tech),Artificial Intelligence,9,48,semester,USD 4000,USD 6800,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0265#Section2
Datta Meghe Institute of Medical Sciences (Deemed to be University),Bachelor of Technology (B.Tech),Computer Aided Structural Analysis and Design,9,48,semester,USD 4000,USD 6800,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0265#Section2
Datta Meghe Institute of Medical Sciences (Deemed to be University),Bachelor of Technology (B.Tech),Data Science and Artificial Intelligence,9,48,semester,USD 4000,USD 6800,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0265#Section2
Datta Meghe Institute of Medical Sciences (Deemed to be University),Bachelor of Technology (B.Tech),Computer Science & Medical Engineering,9,48,semester,USD 4000,USD 6800,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0265#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Computer Science and Engineering with Specialization in Artificial Intelligence,9,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Electronics and Telecommunication Engineering,18,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Fashion Technology,4,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Mechanical Engineering,9,24,semester,INR 60000,INR 60000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Textile Chemistry,9,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Textile Technology,9,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Textile Plant and Engineering ,4,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
"DKTE Society's Textile & Engineering Institute, Ichalkaranji",Bachelor of Technology (B.Tech),Man made Textile Technology,4,48,semester,INR 110000,INR 178000,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 45% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0206#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Artificial Intelligence,18,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Civil Engineering,18,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Computer Science and Engineering,27,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Artificial Intelligence and Machine Learning),9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Cyber Security),9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Internet of Things (IOT)),9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Data Science,9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Electrical Engineering,9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Electronics and Telecommunication Engineering,9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Electronics Engineering,9,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Information Technology,27,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
G H Raisoni College of Engineering (GHRCE) Nagpur,Bachelor of Technology (B.Tech),Mechanical Engineering,18,48,semester,USD 4100,USD 6402,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0022#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Aerospace Engineering,45,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Biotechnology,30,48,semester,USD 6500,USD 9530,"( ( 10+2 in Physics, Chemistry and Biology (PCB) with minimum 50% score  Or  10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score  ) )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Civil Engineering,160,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Computer Science (Data Science),60,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Computer Science and Engineering,200,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Physics with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Computer Science with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Artificial Intelligence and Machine Learning),60,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Cyber Security),60,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score And 10+2 in Computer Science with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Computer Science and Engineering (Spec. in Internet of Things (IOT)),60,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,160,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
"GITAM (Deemed to be University) - Visakhapatnam, Bengaluru and Hyderabad",Bachelor of Technology (B.Tech),Electronics and Communication Engineering,160,48,semester,USD 6500,USD 9530,"( 10+2 in Physics, Chemistry and Mathematics (PCM) with minimum 50% score Or 10+2 in Computer Science with minimum 50% score And 10+2 in Mathematics with minimum 50% score And 10+2 in Physics with minimum 50% score )",,https://studyinindia.gov.in/institute_details?instituet_ID=SII-I-0023#Section2
